date,weight,temp,nedbor,vind
8/1/2021,11324,11.7,0.4,9.2
8/2/2021,44044,12.4,2.4,10.5
8/3/2021,50039,13.7,3.8,6.4
8/4/2021,45281,14.8,0,6.3
8/5/2021,45547,15.2,0,11.5
8/6/2021,62428,14.8,0,8.8
8/7/2021,30607,12.6,1.1,7
8/8/2021,24727,12.2,14.4,5.1
8/9/2021,73642,12,1.6,4.2
8/10/2021,67185,12.3,0.2,4.7
8/11/2021,74164,12.1,0,8.7
8/12/2021,63199,11.2,0,11.2
8/13/2021,93350,10.9,0,10.7
8/14/2021,47295,11.4,0.1,7.1
8/15/2021,31659,11.7,0,14
8/16/2021,73301,11.8,5.6,13.8
8/17/2021,72977,10.2,0.2,14.8
8/18/2021,76090,9.2,0.3,11.5
8/19/2021,48308,9.8,0,8.1
8/20/2021,41437,10.7,0.1,4.8
8/21/2021,27740,10.5,0.6,14.3
8/22/2021,42224,11.4,17,14.7
8/23/2021,103660,11.5,0,8.8
8/24/2021,82568,11.9,0,7.4
8/25/2021,77756,11.8,0,3.3
8/26/2021,92073,11.8,0.4,5.7
8/27/2021,94680,11.4,0.4,8.7
8/28/2021,38665,10.3,0.6,12.8
8/29/2021,35778,9.1,9.3,12.8
8/30/2021,100636,9.2,8.9,14.5
8/31/2021,83052,9.3,0.9,13
9/1/2021,73544,9,0.5,7.2
9/2/2021,70012,11.3,1.8,9
9/3/2021,44974,11.6,1.2,9.6
9/4/2021,18713,11.3,6.9,9.8
9/5/2021,23159,10.4,0.7,12.9
9/6/2021,91746,9.6,0.7,8.5
9/7/2021,83079,9.9,0.9,5.5
9/8/2021,81926,10,0,7
9/9/2021,78505,9.3,0,11.2
9/10/2021,66900,7.7,4.8,16.3
9/11/2021,37221,8.4,7,9.1
9/12/2021,40978,9.2,0,5.5
9/13/2021,88454,10.3,0,5.8
9/14/2021,65981,11,0,5.7
9/15/2021,123269,10.9,0,10.6
9/16/2021,92467,11,0,8.3
9/17/2021,93867,10.3,0.1,12.1
9/18/2021,44220,9.6,7,15.6
9/19/2021,29655,10.7,15.9,21.9
9/20/2021,102075,9.1,2.4,14.9
9/21/2021,54692,8.3,2.4,6.9
9/22/2021,55568,8.8,0.4,8.9
9/23/2021,35624,10.9,2,15.1
9/24/2021,45995,12.5,1,9.5
9/25/2021,30561,11.9,0,12.4
9/26/2021,30922,11.2,0,7.5
9/27/2021,98566,11.3,0,5.9
9/28/2021,86598,11.4,0,8.7
9/29/2021,106634,11.4,1.2,8.6
9/30/2021,111866,11.8,2.4,11.3
10/1/2021,105002,12.1,8.8,13.8
10/2/2021,28983,11.1,0,13.1
10/3/2021,18722,8.5,0,13.2
10/4/2021,72217,7.1,0.2,14.6
10/5/2021,50239,8.5,0.2,10.2
10/6/2021,79935,10.5,1.7,10.2
10/7/2021,96829,9.6,28.6,11.8
10/8/2021,72534,8.1,0.2,11.4
10/9/2021,35433,6.2,2,13.3
10/10/2021,40109,5,9.8,10.2
10/11/2021,120655,6.4,0.9,11.8
10/12/2021,98285,5.3,0.4,11.9
10/13/2021,90384,4.9,2.3,12
10/14/2021,96198,5.8,0.4,12.4
10/15/2021,86410,4,0.1,13.8
10/16/2021,56135,4.2,2.7,10.3
10/17/2021,35289,3.9,9.9,18.2
10/18/2021,67175,5.1,23,13.7
10/19/2021,87458,4.7,8.8,14
10/20/2021,68108,3.9,0,8.1
10/21/2021,65544,6,2.7,11.8
10/22/2021,43581,8.8,14.4,11.6
10/23/2021,30977,8,7.2,8.5
